200 0.25
1.0229885057527754e-06 1.0229885057527754e-06 0.005451022988505749
-1.3595505617969295e-06 -1.3595505617969295e-06 0.004926640449438205
2.087912087916921e-06 2.087912087916921e-06 0.0044540879120879145
5.053763440926451e-07 5.053763440926451e-07 0.0040265053763440944
-1.4736842105234071e-06 -1.4736842105234071e-06 0.003638526315789467
2.2268041237061276e-06 2.2268041237061276e-06 0.0032902268041237054
8.080808081012414e-08 8.080808081012414e-08 0.0029740808080808145
-2.0792079207937464e-06 -2.0792079207937464e-06 0.002687920792079204
1.9029126213515601e-06 1.9029126213515601e-06 0.002430902912621352
1.4761904761906308e-06 1.4761904761906308e-06 0.002196476190476193
-1.6448598130908154e-06 -1.6448598130908154e-06 0.001985355140186912
4.954128440398664e-07 4.954128440398664e-07 0.0017954954128440448
2.0720720720762698e-06 2.0720720720762698e-06 0.0016230720720720737
-5.398230088493605e-07 -5.398230088493605e-07 0.0014664601769911467
-7.826086956541634e-07 -7.826086956541634e-07 0.0013252173913043536
2.06837606837873e-06 2.06837606837873e-06 0.0011990683760683823
8.907563025239984e-07 8.907563025239984e-07 0.0010838907563025246
-1.2975206611504086e-06 -1.2975206611504086e-06 0.0009787024793388444
-3.495934959296676e-07 -3.495934959296676e-07 0.0008846504065040672
2.000000000002e-06 2.000000000002e-06 0.0008009999999999962
1.2598425196130858e-07 1.2598425196130858e-07 0.0007231259842519697
-1.4961240310112922e-06 -1.4961240310112922e-06 0.0006535038759689915
-2.9770992366479065e-07 -2.9770992366479065e-07 0.0005907022900763365
1.375939849619645e-06 1.375939849619645e-06 0.0005353759398496194
2.592592592623455e-07 2.592592592623455e-07 0.00048325925925925967
-8.394160583985455e-07 -8.394160583985455e-07 0.00043616058394160134
-1.0431654676248958e-06 -1.0431654676248958e-06 0.0003939568345323746
1.5886524822664172e-06 1.5886524822664172e-06 0.00035758865248226857
1.0559440559443356e-06 1.0559440559443356e-06 0.0003230559440559472
-5.862068965523104e-07 -5.862068965523104e-07 0.0002914137931034483
-1.231292517007987e-06 -1.231292517007987e-06 0.00026276870748299236
2.7516778523112295e-07 2.7516778523112295e-07 0.00023827516778523322
1.1324503311274658e-06 1.1324503311274658e-06 0.00021613245033112738
5.816993464066722e-07 5.816993464066722e-07 0.0001945816993464064
-1.0967741935485886e-06 -1.0967741935485886e-06 0.00017490322580645395
-5.859872611452266e-07 -5.859872611452266e-07 0.0001584140127388542
4.654088050365379e-07 4.654088050365379e-07 0.00014446540880503483
1.440993788813516e-06 1.440993788813516e-06 0.00013044099378881763
7.546012269973867e-07 7.546012269973867e-07 0.00011775460122699644
-1.5151515151551331e-07 -1.5151515151551331e-07 0.00010584848484848641
-8.083832335331609e-07 -8.083832335331609e-07 9.519161676647264e-05
2.781065088774959e-07 2.781065088774959e-07 8.72781065088743e-05
1.6257309941522524e-06 1.6257309941522524e-06 7.962573099414699e-05
7.7456647398777e-07 7.7456647398777e-07 7.177456647398939e-05
-7.142857142844461e-07 -7.142857142844461e-07 6.328571428571711e-05
-1.2598870056529377e-06 -1.2598870056529377e-06 5.6740112994349556e-05
-2.6256983239741905e-07 -2.6256983239741905e-07 5.1737430167599074e-05
8.950276243063771e-07 8.950276243063771e-07 4.789502762430481e-05
8.46994535522172e-07 8.46994535522172e-07 4.3846994535516604e-05
2.432432432489251e-07 2.432432432489251e-07 3.9243243243246295e-05
-2.513368983977915e-07 -2.513368983977915e-07 3.474866310160252e-05
-9.576719576728787e-07 -9.576719576728787e-07 3.104232804232443e-05
-1.8324607329450737e-07 -1.8324607329450737e-07 2.881675392670674e-05
7.772020725396733e-07 7.772020725396733e-07 2.677720207253792e-05
6.41025641026638e-07 6.41025641026638e-07 2.4641025641022885e-05
1.3705583756101758e-07 1.3705583756101758e-07 2.1137055837561203e-05
-9.949748743728892e-07 -9.949748743728892e-07 1.9005025125626296e-05
-1.004975124375973e-06 -1.004975124375973e-06 1.5995024875620212e-05
-1.3300492610751613e-07 -1.3300492610751613e-07 1.5866995073894608e-05
1.3902439024368607e-06 1.3902439024368607e-06 1.5390243902436984e-05
1.3429951690804853e-06 1.3429951690804853e-06 1.3342995169078609e-05
5.119617224880191e-07 5.119617224880191e-07 1.1511961722485142e-05
-3.080568720323362e-07 -3.080568720323362e-07 9.691943127963787e-06
-3.1455399061158795e-07 -3.1455399061158795e-07 8.685446009390474e-06
-6.976744186051875e-07 -6.976744186051875e-07 8.302325581396874e-06
3.5944700460532886e-07 3.5944700460532886e-07 8.35944700460639e-06
6.803652968026541e-07 6.803652968026541e-07 7.680365296802716e-06
1.0950226244366146e-06 1.0950226244366146e-06 7.095022624435676e-06
4.3946188340443504e-07 4.3946188340443504e-07 5.4394618834094355e-06
-4.44444444441805e-07 -4.44444444441805e-07 4.5555555555562566e-06
-7.092511013148672e-07 -7.092511013148672e-07 4.290748898683194e-06
-5.021834061161301e-07 -5.021834061161301e-07 3.4978165938878703e-06
3.463203462894526e-08 3.463203462894526e-08 4.034632034632946e-06
7.639484978505529e-07 7.639484978505529e-07 4.763948497854553e-06
5.531914893594503e-07 5.531914893594503e-07 3.5531914893624506e-06
2.7426160337240546e-07 2.7426160337240546e-07 3.2742616033754057e-06
